150,52,659,378
EncId,STime,Attacker,SwingType,AttackType,DamageType,Victim,Damage,DamageString,Critical,Special,DmgAdjust,DmgReduced,OverHeal
473d65f9,2015-04-29 22:49:30,YOU,2,Bloodletter,Piercing,Striking Dummy,400,400,F,None,,0,0
473d65f9,2015-04-29 22:44:08,YOU,2,Bloodletter,Piercing,Striking Dummy,400,400,F,None,,0,0
473d65f9,2015-04-29 22:42:33,YOU,2,Bloodletter,Piercing,Striking Dummy,400,400,F,None,,0,0
473d65f9,2015-04-29 22:31:48,YOU,2,Bloodletter,Piercing,Striking Dummy,400,400,F,None,,0,0
473d65f9,2015-04-29 22:25:47,YOU,2,Bloodletter,Piercing,Striking Dummy,400,400,F,None,,0,0
473d65f9,2015-04-29 22:47:18,YOU,2,Bloodletter,Piercing,Striking Dummy,398,398,F,None,,0,0
473d65f9,2015-04-29 22:37:10,YOU,2,Bloodletter,Piercing,Striking Dummy,398,398,F,None,,0,0
473d65f9,2015-04-29 22:45:43,YOU,2,Bloodletter,Piercing,Striking Dummy,397,397,F,None,,0,0
473d65f9,2015-04-29 22:27:22,YOU,2,Bloodletter,Piercing,Striking Dummy,396,396,F,None,,0,0
473d65f9,2015-04-29 22:50:27,YOU,2,Bloodletter,Piercing,Striking Dummy,394,394,F,None,,0,0
473d65f9,2015-04-29 22:49:11,YOU,2,Bloodletter,Piercing,Striking Dummy,394,394,F,None,,0,0
473d65f9,2015-04-29 22:44:46,YOU,2,Bloodletter,Piercing,Striking Dummy,394,394,F,None,,0,0
473d65f9,2015-04-29 22:33:23,YOU,2,Bloodletter,Piercing,Striking Dummy,394,394,F,None,,0,0
473d65f9,2015-04-29 22:29:54,YOU,2,Bloodletter,Piercing,Striking Dummy,394,394,F,None,,0,0
473d65f9,2015-04-29 22:26:25,YOU,2,Bloodletter,Piercing,Striking Dummy,394,394,F,None,,0,0
473d65f9,2015-04-29 22:45:24,YOU,2,Bloodletter,Piercing,Striking Dummy,392,392,F,None,,0,0
473d65f9,2015-04-29 22:33:04,YOU,2,Bloodletter,Piercing,Striking Dummy,392,392,F,None,,0,0
473d65f9,2015-04-29 22:31:29,YOU,2,Bloodletter,Piercing,Striking Dummy,392,392,F,None,,0,0
473d65f9,2015-04-29 22:40:20,YOU,2,Bloodletter,Piercing,Striking Dummy,391,391,F,None,,0,0
473d65f9,2015-04-29 22:38:07,YOU,2,Bloodletter,Piercing,Striking Dummy,390,390,F,None,,0,0
473d65f9,2015-04-29 22:26:44,YOU,2,Bloodletter,Piercing,Striking Dummy,390,390,F,None,,0,0
473d65f9,2015-04-29 22:32:45,YOU,2,Bloodletter,Piercing,Striking Dummy,389,389,F,None,,0,0
473d65f9,2015-04-29 22:46:02,YOU,2,Bloodletter,Piercing,Striking Dummy,387,387,F,None,,0,0
473d65f9,2015-04-29 22:25:28,YOU,2,Bloodletter,Piercing,Striking Dummy,386,386,F,None,,0,0
473d65f9,2015-04-29 22:52:21,YOU,2,Bloodletter,Piercing,Striking Dummy,385,385,F,None,,0,0
473d65f9,2015-04-29 22:50:46,YOU,2,Bloodletter,Piercing,Striking Dummy,385,385,F,None,,0,0
473d65f9,2015-04-29 22:28:57,YOU,2,Bloodletter,Piercing,Striking Dummy,384,384,F,None,,0,0
473d65f9,2015-04-29 22:47:56,YOU,2,Bloodletter,Piercing,Striking Dummy,383,383,F,None,,0,0
473d65f9,2015-04-29 22:51:24,YOU,2,Bloodletter,Piercing,Striking Dummy,381,381,F,None,,0,0
473d65f9,2015-04-29 22:36:32,YOU,2,Bloodletter,Piercing,Striking Dummy,381,381,F,None,,0,0
473d65f9,2015-04-29 22:34:39,YOU,2,Bloodletter,Piercing,Striking Dummy,380,380,F,None,,0,0
473d65f9,2015-04-29 22:43:30,YOU,2,Bloodletter,Piercing,Striking Dummy,379,379,F,None,,0,0
473d65f9,2015-04-29 22:47:37,YOU,2,Bloodletter,Piercing,Striking Dummy,378,378,F,None,,0,0
473d65f9,2015-04-29 22:29:35,YOU,2,Bloodletter,Piercing,Striking Dummy,377,377,F,None,,0,0
